hour,Ws_crop,Ta_crop,P_mean_crop,Rh_crop,e_crop,Hs_crop,Le_crop,Ustar_crop,Fco2_crop,CO2_crop,DR_crop,UR_crop,DLR_crop,ULR_crop,Rn_crop,Rns_crop,Rnl_crop,Alb_crop,Wd_crop,e_star_crop,q_crop,RH_crop,heat_index_crop
12,2.4926869183006537,301.38891787581696,100601.8165098684,67.75562434640523,2602.7250261437903,36.63587851644737,205.4070741369863,0.2563976578947368,-0.4221123453947369,703.9564975,552.8318558496732,70.7681575882353,438.9549173202615,478.251591503268,442.76703297385615,482.06369826143793,-39.29667418300654,0.1303248006535947,157.25921990522875,3834.0881826960276,0.016519489535576956,67.88380710413458,3712.5219109904756
13,2.538873209150327,301.80975447712416,100552.80563245031,66.17537522875817,2596.5280000000002,36.006488758278145,218.05595683219175,0.2654286423841059,-0.4058409933774834,698.6264171423841,565.094326993464,68.95340013071896,441.1240575163399,480.1413437908497,457.1236469738562,496.1409268627451,-39.01728627450981,0.124456385620915,155.32150730392158,3928.8722343560917,0.01648736002464206,66.08837969569527,3635.488616152991
14,2.516493519607843,302.02674718954245,100507.7675,65.07582918300653,2573.8749379084966,25.926611291390728,198.84549432876716,0.2579921125827814,-0.3385933013245033,689.8560932649007,494.795355130719,60.91960869607843,441.14774084967314,478.9400892156863,396.0834004509804,433.8757464346405,-37.79234836601307,0.1246716732026143,157.89036795424838,3978.5369201462586,0.01634725394340942,64.69400660516872,3579.3118401620436
15,2.4523315392156864,302.1133840849673,100463.05651315789,64.79382009803922,2574.2466470588233,13.88960952631579,171.70093351027398,0.2487059342105262,-0.2944193782894737,693.0691757039473,391.3778267647059,50.14545293137255,439.73810588235295,476.6911568627451,304.2793226797385,341.2323738333333,-36.95305098039216,0.1302962810457516,157.57375114705883,3998.5181899770005,0.01635714456699213,64.3800159146864,3565.8059358752644
16,2.359245454248366,301.90477316993463,100441.4925751634,65.55180980392157,2574.510781045752,-0.9641632026143792,131.5953038367347,0.2417135130718954,-0.1806090196078431,695.0240955424836,277.0650403594771,36.72797236928105,436.9594166666666,471.91415261437913,205.38234444444444,240.3370679901961,-34.954735947712415,0.1356218954248365,154.54573249346407,3950.5530491257705,0.016362471555311696,65.1683637463234,3602.800336943978
17,2.127115839869281,301.45023081699344,100432.50320915032,67.32049529411765,2579.1804117647057,-11.121093241830064,78.92732972789116,0.2083175816993464,-0.0240304052287581,696.4341351470588,150.06879437908495,21.128394996732027,433.239133006536,465.6446473856209,96.53488508823528,128.94039938235295,-32.40551437908497,0.1485283039215686,152.12557602941175,3847.772450506089,0.016394437820362994,67.03048179019713,3689.6628074924183
18,1.8171564248366008,300.6021390196078,100446.3576372549,70.90673970588236,2597.231653594771,-13.377472035947712,39.21574198639456,0.1690103267973856,0.006897702614379,706.7902845392157,54.60334669934641,7.740173094771242,427.60475882352944,457.3126405228758,17.155292336601306,46.86317360130719,-29.70788169934641,0.1524509362416107,154.1520898856209,3662.2119028849393,0.01650988777156494,70.91975348419297,3866.3747476442268
19,1.4934852614379084,299.29612624183005,100483.92799019608,77.13888464052287,2646.03287254902,-10.588694290849674,16.634366405405405,0.1404835522875817,0.0613409802631578,735.4267885686274,3.288861405228758,1.0534153398692812,421.60131666666666,448.1791019607843,-24.342342588235294,2.2354460588235296,-26.577785294117646,0.2205213895348837,150.68033571895424,3391.6959082493618,0.016822034496412945,78.0150386157343,4174.2502072199395
20,1.369476591503268,298.36927944444443,100539.68859803923,81.59757699346406,2663.47654248366,-9.35970183006536,11.065683581632651,0.132855431372549,0.035011215231788,763.6962053496732,-1.3744780522875817,1.0769456241830069,418.0610565359477,443.2966921568627,-27.68705581045752,-2.4514236830065363,-25.235635620915037,0.2773515,150.4477571143791,3210.4407500991533,0.016926302874129277,82.96295586210086,4391.420823198647
21,1.38256831372549,297.9329021568627,100599.70946052631,83.50419362745099,2660.644251633987,-9.697289532894736,10.53469868150685,0.1323293519736842,0.0813107248322147,769.04440152649,-1.173230843137255,1.1729238431372548,416.71504673202617,441.0695258169934,-26.700635696078432,-2.3461546699346405,-24.35447908496732,0.5220178333333333,147.9081303006536,3128.067737162448,0.016897452727229853,85.05711753056625,4481.930709914493
22,1.3479045359477124,297.57590954248366,100614.85327302633,85.11503107843137,2660.4304052287584,-9.625403983552632,8.999921527210883,0.1383325032894737,0.0594979228187919,773.9290867284768,-1.154696571895425,1.1928824150326798,414.7333333333333,439.2219281045752,-26.83617461437908,-2.34757898366013,-24.488594771241832,0.3148534166666666,147.81402135294118,3062.056660266629,0.01689344558015152,86.88377454769571,4558.418130657987
23,1.284774,297.2454565359477,100609.6035625,86.34418490196079,2645.453277777777,-8.8973570625,6.167487527210884,0.1307580855263157,0.0099809066666666,780.0493568289473,-1.2259475392156862,1.2455074869281046,412.5946045751634,437.3454996732026,-27.222352568627453,-2.471455016339869,-24.750895098039216,0.305980375,147.55553855882354,3002.039295956716,0.01679667443646876,88.12187373232572,4614.252277279626
