hour,Ws_grass,Ta_grass,P_mean_grass,Rh_grass,e_grass,Hs_grass,Le_grass,Ustar_grass,Fco2_grass,CO2_grass,DR_grass,UR_grass,DLR_grass,ULR_grass,Rn_grass,Rns_grass,Rnl_grass,Alb_grass,Wd_grass,e_star_grass,q_grass,RH_grass,heat_index_grass,d1_grass,d2_grass,d3_grass,delta_RH_grass_26_5m
10,2.484171251633987,300.51042483660126,100347.67944256755,71.07810457516341,2591.947712418301,133.38247294932432,123.66301718794324,0.2989429155405405,-0.2019831702127659,671.8741264244604,520.5882016013071,73.84795685620915,428.0841539215686,484.0186411764706,390.8057599673203,446.7402447450981,-55.93448725490196,0.1408771895424836,153.6792806862745,3642.6199700941775,0.01649204040101273,71.15613854033991,85.25938794402106,-0.00019534329445434904,213.12103645671408,0.000274527677388796,-3.36213637129957
11,2.531089633986928,301.3115359477124,100323.92231333334,67.7859477124183,2579.735294117647,153.30345096333332,145.23183048905108,0.31487344,-0.2006483723404255,663.6914713992805,581.1576427941177,80.00957608169935,432.9959078431373,492.7263477124183,441.4176349640523,501.1480667124183,-59.73043986928104,0.1364664346405228,155.10687185620915,3816.8780034740676,0.016416273968555554,67.58757528455477,87.21757525738798,-0.00017707554504764768,221.97064132144163,0.00026199422645675714,-3.1266776878947553
12,2.583866973856209,301.89941176470586,100271.96900993376,65.3737908496732,2564.735294117647,159.9212918311258,152.72057927536233,0.3193786357615894,-0.2151175106382978,657.076500176259,600.5688514705882,82.38815188235294,436.330622875817,497.8746712418301,456.6366631045752,518.1806995882353,-61.54404836601307,0.1367826111111111,154.66717069607844,3949.3269492551226,0.016326993327649055,64.94107292386563,88.56326651537645,-0.00016443579819623209,228.65933933550366,0.000253207701679044,-3.2006342515332378
13,2.577448088235294,302.30761437908495,100205.13180333332,63.75735294117647,2553.0915032679736,153.47517693999998,157.62535840357145,0.31946425,-0.1948021398601398,656.0083325950704,580.9557284640523,81.18542561764706,438.2525980392157,499.6943444444444,438.3285620359477,499.7703028464052,-61.44174640522876,0.1393169575163398,157.53969890196078,4043.631538565438,0.016262055663691207,63.13857924289847,89.47230919824486,-0.0001561432554888475,233.40264054423818,0.000247302453367146,-3.45851006214437
14,2.5313931274509804,302.4958496732026,100144.61303000001,62.938300653594766,2538.4183006535945,126.47745556666666,144.62729078571428,0.3129320966666666,-0.1645339965034965,648.3891979859155,505.9935059803921,73.34731795424837,438.5290264705882,497.1755029411764,373.9997192124183,432.64618802614376,-58.64647647058824,0.1428954215686274,151.18979086928107,4087.77430475926,0.016176188277646508,62.09780950230541,89.85704722773404,-0.00015191105201186618,235.61759169411502,0.00024463190123675204,-4.013805941589688
15,2.481364333333333,302.5409150326797,100100.64548666666,62.67349673202615,2530.9673202614376,96.08049778,123.64659246785716,0.3019901733333333,-0.1282900845070422,649.8819215248227,409.8383132026144,63.3150563006536,437.03272843137256,492.7735741830065,290.7824110130719,346.5232569019608,-55.740845751633984,0.1511310032679738,148.8405279607843,4098.404490471173,0.016134742911806152,61.75494210359078,89.92557097922383,-0.00015068044710367555,236.15048152868897,0.00024399739028322094,-3.9338280873779823
16,2.3443798496732025,302.2670915032679,100076.75967880795,63.6759477124183,2533.21568627451,58.71771498675497,93.27154716549296,0.282772059602649,-0.0880480739436619,646.0528507092199,293.08308241830065,49.39645995424837,434.5087705882353,485.1727267973857,193.02266694117648,243.68662246405228,-50.66395620915033,0.1617489477124183,145.7508678986928,4034.183018243535,0.01615340280217167,62.7937719934546,89.308950927213,-0.00015565424699247958,232.92810416618403,0.0002478816641381321,-4.948321265333611
17,2.118171320261438,301.72415032679737,100074.84960596028,65.5771568627451,2535.7973856209155,20.94549546688741,62.69897829720279,0.245445536423841,-0.0316399405594405,651.9909091923078,164.8120284379085,31.54279639542484,430.70020392156863,474.98884411764703,88.98059756862746,133.26923204248368,-44.28864019607843,0.18408677124183,143.45943595424836,3909.428311754097,0.016170610006473997,64.86363691583192,88.0298209552521,-0.00016591591338511758,226.64778857209822,0.00025579187550092616,-5.693176548212072
18,1.7893338333333333,300.7706862745098,100093.05524671052,69.34862745098039,2552.9117647058824,-3.4232074309210523,27.472376715277772,0.1945970493421052,0.0545234895833333,657.8226019305555,58.72461063398693,12.971432964052289,425.154695751634,462.2575620915033,8.650314581699346,45.75317766993464,-37.10286633986928,0.2122008655172413,143.39399614379084,3698.456238441602,0.016279565120180653,69.0264153505731,85.77809337275869,-0.00018663574989238852,215.96292784940843,0.00027038308297555103,-8.053149377132378
19,1.4676509052287583,299.4426470588235,100145.54979276317,74.7487908496732,2573.232026143791,-8.890926667763159,10.51392236013986,0.1584547993421052,0.0576637275862068,681.4514837241379,4.044287764705882,1.626716277777778,419.5585895424837,449.1874555555555,-27.211290375817,2.4175715,-29.6288660130719,0.2352585654761904,135.9786420751634,3421.1509896068505,0.01640373373203813,75.21538903021347,82.34032328340714,-0.00021985404695294382,201.78836817572608,0.00029229928846692536,-11.948540882982805
20,1.353537431372549,298.5890849673202,100206.52406907897,78.2497385620915,2572.9248366013076,-11.021373950657894,9.346559128472222,0.1490168289473684,0.0679981206896551,697.285598237931,-1.3664122320261438,1.0013600522875816,415.9912990196078,443.2574307189543,-29.63389391503268,-2.367772297385621,-27.266131699346403,0.176368,128.38382319281044,3252.644056380495,0.01639148060654161,79.10256369903655,79.90155771296693,-0.00024319465126799327,193.09794233486133,0.00030744218631558124,-13.684433063815248
21,1.350390114379085,298.1281699346405,100259.22771710526,80.57457516339869,2586.0098039215686,-10.197679934210528,7.2061865,0.1434874539473684,0.0687273645833333,703.4430632152778,-1.0917383823529412,1.075287725490196,414.58587091503273,440.642291503268,-28.22345281699346,-2.1670261013071896,-26.05642058823529,0.3998564,131.96764695751634,3164.6968508477275,0.016468159157701966,81.71429763419059,78.48774526295257,-0.00025820576657224455,188.53774088199856,0.00031598603187920824,-14.399851381377232
22,1.3490538954248366,297.77450980392155,100278.18391447369,82.23866013071896,2591.9771241830067,-9.849424746710527,5.646658880952382,0.1447428157894736,0.0399088437499999,709.6167414270834,-1.1005130294117649,1.06258127124183,412.4814094771242,438.7992830065359,-28.480968464052285,-2.163094294117647,-26.317873529411763,0.7351078333333333,136.53851414379085,3098.6280039250005,0.01650396534183035,83.64918670133284,77.34132193103368,-0.00026995556289872573,185.10051898863694,0.0003227234759168607,-14.52134954141583
23,1.319489705882353,297.3560130718954,100273.85091830064,84.14839869281046,2589.4379084967322,-9.736211049019609,5.684450527027027,0.1398162222222222,0.0601376597222222,711.82697203125,-1.2360073954248365,1.0867330816993463,409.9942993464052,436.62197549019606,-28.950416421568622,-2.3227404673202616,-26.62767614379085,0.56252,138.52636698366013,3022.003465280598,0.016488100091498935,85.68613299906652,75.92119191685086,-0.0002835408164931089,181.1015114394655,0.00033090630486988813,-14.491010427000163
